PIR	SIZE	RNA_OVERLAP	promoter_genes	TPMs	ENCODE_merged
10_100061116_100065295	4179	noRNA	SFRP5	1.35187	1
10_100068820_100080616	11796	RNA	LOXL4;RP11-441O15.3	1.23043;NA	1
10_100180142_100194139	13997	RNA	CNNM1	0.423422	1
10_100213083_100218164	5081	RNA	HPSE2	0.0967068	0
10_100218165_100220666	2501	noRNA	HPSE2	0.0967068	0
10_100225922_100231843	5921	noRNA	CNNM1	0.423422	1
10_100231844_100233641	1797	noRNA	CNNM1	0.423422	0
10_100461466_100467577	6111	noRNA	HPSE2	0.0967068	0
10_100505495_100510984	5489	noRNA	HPSE2	0.0967068	1
10_100550664_100553603	2939	noRNA	HPSE2	0.0967068	1
10_100669720_100681554	11834	noRNA	HPS1	36.3886320326095	0
10_100804014_100805899	1885	noRNA	HPS1	36.3886320326095	0
10_100881216_100884941	3725	noRNA	PYROXD2	4.283388	0
10_100906897_100910450	3553	noRNA	PYROXD2	4.283388	0
10_100972873_100975906	3033	RNA	HPS1	36.3886320326095	0
10_100991899_100993132	1233	noRNA	RP11-129J12.2;NKX2-3;R3HCC1L	NA;0.0161587;11.9971927301	0
10_101145290_101148715	3425	RNA	snoU13	NA	0
10_101153220_101156817	3597	noRNA	RP11-129J12.2;CUTC	NA;33.709279	0
10_101156818_101159662	2844	RNA	LOXL4	1.23043	0
10_101195701_101200386	4685	RNA	NKX2-3	0.0161587	1
10_101264270_101266844	2574	noRNA	LOXL4	1.23043	0
10_101277611_101287800	10189	RNA	NKX2-3;TLX1;RP11-31L23.3;TLX1;TLX1NB	0.0161587;0;NA;0;0	1
10_101298225_101304994	6769	noRNA	GOT1;RP11-441O15.3;RP11-129J12.2;TLX1	57.1758;NA;NA;0	0
10_101311748_101320563	8815	noRNA	RP11-441O15.3;snoU13;RP11-483F11.7;CUTC	NA;NA;NA;33.709279	1
10_101338433_101348414	9981	RNA	MMS19;UBTD1	83.477881;16.4766	0
10_101353657_101360125	6468	noRNA	GOT1;RP11-441O15.3	57.1758;NA	0
10_101362207_101368587	6380	RNA	RP11-441O15.3	NA	0
10_101378515_101380387	1872	noRNA	RP11-441O15.3	NA	0
10_101420154_101425380	5226	noRNA	ERLIN1	30.28397	0
10_101499084_101501754	2670	noRNA	DNMBP-AS1;DNMBP	NA;12.637698	0
10_101513014_101515749	2735	noRNA	ERLIN1	30.28397	0
10_101519231_101525561	6330	noRNA	PDZD7;SFXN3	1.6107158;2.9587046	0
10_101590457_101593600	3143	noRNA	CPN1	0	0
10_101600650_101605864	5214	noRNA	CPN1;RP11-316M21.7;CHUK;RP11-316M21.6	0;NA;18.704444;NA	1
