PIR_CHR,PIR_START,PIR_STOP,FEAT_CHR,FEAT_START,FEAT_STOP
17,15336001,15342072,17,15340097,15340367
17,47515483,47517005,17,47516332,47516612
17,38472354,38473746,17,38473673,38473943
17,38472354,38473746,17,38472743,38473013
17,3947089,3953992,17,3951588,3951868
17,12150114,12160627,17,12159764,12160034
17,33939428,33940406,17,33940004,33940274
17,36825731,36828461,17,36827955,36828231
17,31077144,31083687,17,31082130,31082406
17,46024514,46029316,17,46026697,46026897
17,46024514,46029316,17,46024335,46024551
17,60768478,60771220,17,60770598,60770814
17,35222543,35230729,17,35227443,35227722
17,35222543,35230729,17,35227930,35228206
17,48053206,48056993,17,48055439,48055718
17,37128166,37134473,17,37132097,37132373
17,53590240,53591865,17,53591418,53591688
17,48260651,48262585,17,48261431,48261748
17,10778153,10783607,17,10782526,10782726
17,10778153,10783607,17,10779382,10779598
17,10778153,10783607,17,10778701,10778917
17,28192402,28195090,17,28194854,28195161
17,57824272,57828250,17,57824258,57824554
17,42657642,42660400,17,42659287,42659563
17,43034356,43041668,17,43039274,43039550
17,72449504,72457551,17,72453771,72453963
17,38266735,38268854,17,38267983,38268199
17,64668280,64670164,17,64670003,64670219
17,61847233,61859030,17,61851904,61852135
17,55976235,55985140,17,55984238,55984533
17,55976235,55985140,17,55982423,55982699
17,38652063,38655913,17,38655740,38656016
17,71922926,71933318,17,71926207,71926489
17,60828368,60836538,17,60832490,60832766
17,72296975,72298777,17,72297369,72297589
17,73743031,73746010,17,73743963,73744153
17,30528059,30531233,17,30530485,30530761
17,9240108,9247123,17,9245639,9245940
17,3348984,3353600,17,3351040,3351262
17,62360357,62372444,17,62368679,62368949
17,7049582,7056027,17,7051204,7051502
17,43081102,43087042,17,43084249,43084527
17,64731843,64736682,17,64733678,64733894
17,16408215,16411515,17,16409561,16409837
17,42486984,42507965,17,42486766,42487042
17,61688858,61697796,17,61689666,61689882
17,33325240,33327262,17,33325288,33325472
17,6176266,6180407,17,6180100,6180376
17,11171609,11176491,17,11174977,11175278
17,59628438,59633946,17,59628587,59628857
17,47564009,47568818,17,47564662,47564932
