PIR_CHR,PIR_START,PIR_STOP,FEAT_CHR,FEAT_START,FEAT_STOP
17,42998383,43008330,17,42998877,42999093
17,26646739,26655388,17,26648999,26649269
17,70980494,70982525,17,70982336,70982539
17,2709642,2747814,17,2740566,2740842
17,2709642,2747814,17,2723457,2723673
17,2709642,2747814,17,2729481,2729757
17,2709642,2747814,17,2731779,2732007
17,74500307,74505892,17,74500240,74500519
17,74500307,74505892,17,74502513,74502751
17,30567395,30589495,17,30576602,30576904
17,30567395,30589495,17,30580439,30580603
17,30567395,30589495,17,30580120,30580351
17,30567395,30589495,17,30567891,30568189
17,73586519,73592127,17,73590645,73590921
17,43470562,43474831,17,43472557,43472788
17,34067010,34070957,17,34068430,34068742
17,35026312,35041418,17,35029606,35029822
17,35026312,35041418,17,35028231,35028559
17,16844205,16853709,17,16848999,16849275
17,8155690,8161150,17,8157165,8157441
17,8155690,8161150,17,8158896,8159207
17,21306290,21313385,17,21307814,21308096
17,71360616,71371798,17,71366104,71366307
17,58212289,58217886,17,58217208,58217478
17,19671396,19681099,17,19676904,19677180
17,36858245,36859128,17,36858390,36858606
17,72789900,72799611,17,72797385,72797549
17,47657705,47660251,17,47658555,47658831
17,10514856,10524250,17,10519910,10520138
17,10514856,10524250,17,10521516,10521718
17,10514856,10524250,17,10517944,10518166
17,71642243,71647886,17,71646395,71646571
17,71642243,71647886,17,71642838,71643108
17,77807008,77811104,17,77809411,77809697
17,77807008,77811104,17,77808410,77808635
17,77807008,77811104,17,77808833,77809008
17,19265109,19268139,17,19266245,19266465
17,29725629,29734276,17,29733028,29733325
17,72691910,72708927,17,72691817,72692109
17,45680935,45695927,17,45695848,45696127
17,45680935,45695927,17,45693249,45693525
17,70610466,70614629,17,70612690,70612984
17,72553742,72562882,17,72562351,72562571
17,15304831,15320744,17,15312230,15312446
17,21153185,21158878,17,21153267,21153543
17,33859489,33861852,17,33860412,33860600
17,17464635,17476072,17,17473620,17473890
17,17464635,17476072,17,17472104,17472320
17,2319774,2335879,17,2325124,2325600
17,39566989,39574056,17,39573845,39574061
17,55966851,55976234,17,55969882,55970122
17,55966851,55976234,17,55975413,55975689
17,38688681,38695675,17,38689629,38689851
17,55947966,55956340,17,55952875,55953151
17,5599626,5611310,17,5608433,5608655
17,5599626,5611310,17,5610248,5610461
17,9233446,9236253,17,9233507,9233777
17,55937307,55947965,17,55945723,55945939
17,55937307,55947965,17,55939116,55939332
17,7960470,7963048,17,7960372,7960648
17,7960470,7963048,17,7961058,7961309
17,36712152,36738947,17,36718067,36718351
17,36712152,36738947,17,36724560,36724854
17,36712152,36738947,17,36714418,36714623
17,36712152,36738947,17,36736200,36736416
17,36712152,36738947,17,36715730,36716008
17,36712152,36738947,17,36738666,36738882
17,36712152,36738947,17,36733540,36733820
17,77378304,77387445,17,77384654,77384836
17,77378304,77387445,17,77382826,77382990
17,4859527,4867314,17,4860015,4860285
17,63250933,63258525,17,63257380,63257650
17,77761703,77766011,17,77763743,77763959
17,77761703,77766011,17,77763165,77763441
17,78943765,78958963,17,78944249,78944519
17,78943765,78958963,17,78958627,78958907
17,78943765,78958963,17,78955210,78955388
17,26817919,26825535,17,26821801,26822008
17,56185377,56199741,17,56190468,56190701
17,56185377,56199741,17,56199329,56199629
17,7797177,7802845,17,7801195,7801471
17,20947625,20955868,17,20955585,20955861
17,27902714,27909761,17,27907398,27907624
17,48094549,48107933,17,48104235,48104461
17,48094549,48107933,17,48104619,48104847
17,27239294,27244307,17,27239361,27239631
17,27239294,27244307,17,27243414,27243690
17,62357407,62360356,17,62359373,62359643
17,73058916,73066171,17,73059749,73060062
17,73058916,73066171,17,73061045,73061321
17,73058916,73066171,17,73065948,73066246
17,58114585,58115931,17,58114528,58114749
17,45303067,45311912,17,45307165,45307405
17,19360315,19361698,17,19361025,19361301
17,42820589,42827705,17,42822753,42823029
17,20899811,20902151,17,20901079,20901295
17,38237401,38242822,17,38242783,38242977
17,4682938,4688591,17,4686077,4686364
17,70584149,70597213,17,70590431,70590725
17,43926369,43932073,17,43930147,43930324
17,79654396,79663473,17,79660886,79661162
17,19515338,19518500,17,19518281,19518557
17,27266938,27278715,17,27277363,27277639
17,41762376,41772401,17,41771833,41772032
17,41762376,41772401,17,41771517,41771733
17,40668477,40672072,17,40669552,40669778
17,33502714,33511354,17,33511337,33511613
