#bait_chr,bait_start,bait_stop	PIR_chr,PIR_start,PIR_stop
chr1,100105296,100123456	chr1,99701576,99706537
chr1,100231938,100238252	chr1,100928104,100929277
chr1,100231938,100238252	chr1,101329861,101335812
chr1,100249523,100251737	chr1,100568907,100573223
chr1,100249523,100251737	chr1,101087664,101088840
chr1,100249523,100251737	chr1,101234329,101236533
chr1,100294153,100296677	chr1,100924129,100927802
chr1,100313162,100317801	chr1,101187800,101196691
chr1,100313162,100317801	chr1,101329861,101335812
chr1,100430956,100437855	chr1,101383003,101390714
chr1,100502333,100509270	chr1,100217858,100228765
chr1,100502333,100509270	chr1,100270818,100286169
chr1,100502333,100509270	chr1,100309537,100313161
chr1,100596834,100598665	chr1,100889577,100891298
chr1,100596834,100598665	chr1,100914214,100919006
chr1,100598666,100607640	chr1,100270818,100286169
chr1,100598666,100607640	chr1,100309537,100313161
chr1,100598666,100607640	chr1,100900407,100904926
chr1,100598666,100607640	chr1,100944030,100950619
chr1,100598666,100607640	chr1,65778307,65780952
chr1,100634352,100646989	chr1,101286854,101298587
chr1,100713369,100722257	chr1,100491293,100494615
chr1,100726257,100738062	chr1,100895003,100900406
chr1,100738063,100748239	chr1,100971443,100977802
chr1,100738063,100748239	chr1,101206704,101213318
chr1,100802776,100812107	chr1,100309537,100313161
chr1,100802776,100812107	chr1,100904927,100910843
chr1,10085512,10094202	chr1,10191100,10198792
chr1,10085512,10094202	chr1,10476632,10489099
chr1,10085512,10094202	chr1,9762905,9797765
chr1,100951241,100958750	chr1,101329861,101335812
chr1,101000525,101008738	chr1,101298588,101301988
chr1,101000525,101008738	chr1,101301989,101309453
chr1,101000525,101008738	chr1,101319773,101326702
chr1,101000525,101008738	chr1,101339592,101341443
chr1,101000525,101008738	chr1,236455821,236460502
chr1,101185010,101186035	chr1,99541855,99547598
chr1,101360898,101363055	chr1,100545951,100546290
chr1,101460862,101461280	chr1,101462883,101467079
chr1,101460862,101461280	chr1,101703633,101709881
chr1,101460862,101461280	chr1,101713569,101717313
chr1,101460862,101461280	chr1,101768515,101773251
chr1,101490474,101494238	chr1,101713569,101717313
chr1,101490474,101494238	chr1,101752109,101756740
chr1,101596382,101602313	chr1,101728687,101735992
chr1,101596382,101602313	chr1,101752109,101756740
chr1,101596382,101602313	chr1,101773252,101776530
chr1,101596382,101602313	chr1,101784518,101800784
chr1,101596382,101602313	chr1,103309682,103315070
chr1,10221034,10226462	chr1,10411056,10418314
chr1,10221034,10226462	chr1,10461041,10471296
chr1,10221034,10226462	chr1,9985582,9989339
chr1,102321499,102327220	chr1,101987595,101990478
chr1,102321499,102327220	chr1,102658301,102662257
chr1,102461469,102463389	chr1,101985333,101987594
chr1,102461469,102463389	chr1,102121549,102125765
chr1,102461469,102463389	chr1,102653677,102658300
chr1,102461469,102463389	chr1,102914777,102919083
chr1,10355588,10362375	chr1,10033106,10042860
chr1,10355588,10362375	chr1,10173199,10180276
chr1,10355588,10362375	chr1,10198793,10200583
chr1,10355588,10362375	chr1,9936976,9944555
chr1,10355588,10362375	chr1,9944556,9949295
chr1,103573294,103579205	chr1,103712612,103718304
chr1,103573294,103579205	chr1,103731462,103735178
chr1,103573294,103579205	chr1,104003974,104004753
chr1,103573294,103579205	chr1,104016539,104017837
chr1,103573294,103579205	chr1,104035028,104041010
chr1,103573294,103579205	chr1,104041663,104046494
chr1,103573294,103579205	chr1,104046495,104049981
chr1,103573294,103579205	chr1,104051192,104059749
chr1,103573294,103579205	chr1,104059750,104064836
chr1,103573294,103579205	chr1,104128651,104133545
